DATE,GAS
26-10-1998,1.001
02-11-1998,0.997
09-11-1998,0.994
16-11-1998,0.981
23-11-1998,0.971
30-11-1998,0.954
07-12-1998,0.933
14-12-1998,0.923
21-12-1998,0.921
28-12-1998,0.914
04-01-1999,0.913
11-01-1999,0.920
18-01-1999,0.921
25-01-1999,0.913
01-02-1999,0.908
08-02-1999,0.907
15-02-1999,0.899
22-02-1999,0.885
01-03-1999,0.891
08-03-1999,0.900
15-03-1999,0.958
22-03-1999,0.999
29-03-1999,1.055
05-04-1999,1.087
12-04-1999,1.107
19-04-1999,1.103
26-04-1999,1.099
03-05-1999,1.107
10-05-1999,1.109
17-05-1999,1.112
24-05-1999,1.101
31-05-1999,1.088
07-06-1999,1.092
14-06-1999,1.088
21-06-1999,1.105
28-06-1999,1.095
05-07-1999,1.110
12-07-1999,1.123
19-07-1999,1.148
26-07-1999,1.172
02-08-1999,1.172
09-08-1999,1.183
16-08-1999,1.214
23-08-1999,1.212
30-08-1999,1.214
06-09-1999,1.223
13-09-1999,1.234
20-09-1999,1.252
27-09-1999,1.248
04-10-1999,1.242
11-10-1999,1.234
18-10-1999,1.220
25-10-1999,1.225
01-11-1999,1.218
08-11-1999,1.222
15-11-1999,1.240
22-11-1999,1.258
29-11-1999,1.262
06-12-1999,1.260
13-12-1999,1.263
20-12-1999,1.257
27-12-1999,1.263
03-01-2000,1.260
10-01-2000,1.252
17-01-2000,1.268
24-01-2000,1.307
31-01-2000,1.307
07-02-2000,1.319
14-02-2000,1.350
21-02-2000,1.400
28-02-2000,1.413
06-03-2000,1.490
13-03-2000,1.511
20-03-2000,1.508
27-03-2000,1.484
03-04-2000,1.478
10-04-2000,1.447
17-04-2000,1.415
24-04-2000,1.406
01-05-2000,1.386
08-05-2000,1.427
15-05-2000,1.466
22-05-2000,1.494
29-05-2000,1.509
05-06-2000,1.535
12-06-2000,1.607
19-06-2000,1.664
26-06-2000,1.641
03-07-2000,1.606
10-07-2000,1.571
17-07-2000,1.521
24-07-2000,1.499
31-07-2000,1.447
07-08-2000,1.437
14-08-2000,1.420
21-08-2000,1.444
28-08-2000,1.456
04-09-2000,1.502
11-09-2000,1.535
18-09-2000,1.539
25-09-2000,1.525
02-10-2000,1.498
09-10-2000,1.473
16-10-2000,1.516
23-10-2000,1.532
30-10-2000,1.523
06-11-2000,1.502
13-11-2000,1.501
20-11-2000,1.487
27-11-2000,1.489
04-12-2000,1.464
11-12-2000,1.425
18-12-2000,1.396
25-12-2000,1.388
01-01-2001,1.377
08-01-2001,1.400
15-01-2001,1.458
22-01-2001,1.456
29-01-2001,1.446
05-02-2001,1.426
12-02-2001,1.460
19-02-2001,1.429
26-02-2001,1.410
05-03-2001,1.393
12-03-2001,1.387
19-03-2001,1.377
26-03-2001,1.379
02-04-2001,1.411
09-04-2001,1.469
16-04-2001,1.535
23-04-2001,1.586
30-04-2001,1.585
07-05-2001,1.659
14-05-2001,1.663
21-05-2001,1.637
28-05-2001,1.656
04-06-2001,1.630
11-06-2001,1.580
18-06-2001,1.526
25-06-2001,1.454
